Plant ,Tray,Genotype,Phenotype,Rachis Length ,TL Length,Primary,Secondary,Intercalary,Subset
1,A,y,y,16.505,7.631,7,2,6,
2,A,n,y,19.839,8.705,7,6,3,
3,A,y,y,19.845,6.851,7,6,7,
4,A,y,y,20.702,7.139,9,8,11,
5,A,y,n,17.386,7.027,7,9,4,
6,A,n,n,22.064,8.896,7,7,4,
7,A,y,y,16.498,5.389,7,1,5,
8,A,y,y,13.506,5.6,7,2,2,
9,A,y,y,17.186,7.182,7,5,4,
10,A,n,n,17.975,5.714,7,3,3,
11,A,n,n,17.961,6.8,7,2,1,
12,A,y,y,19.256,7.134,7,3,3,
13,A,n,y,18.494,5.516,7,3,2,
14,A,y,y,18.03,6.219,7,5,3,
15,A,y,y,12.831,5.897,7,1,5,
16,A,y,y,15.136,5.432,7,4,4
17,A,y,y,12.617,5.731,7,3,3
18,A,y,y,11.948,4.559,7,2,3
19,A,y,y,14.051,6.011,7,4,2
20,A,y,y,14.07,5.624,7,5,4
21,A,y,y,15.159,5.83,7,3,4
22,A,y,y,17.489,7.192,7,3,2
23,A,y,y,16.929,5.328,7,8,4
24,A,NA,n,0,0,0,0,0
25,A,n,n,17.401,5.391,7,5,2
26,A,n,n,15.972,5.814,7,4,2
27,A,n,n,12.963,6.406,7,2,2
28,A,n,y,14.066,6.445,7,2,4
29,A,y,n,13.972,5.263,7,3,3
30,A,y,y,15.862,6.246,7,5,2
31,A,y,y,18.81,8.262,7,6,3
32,A,NA,y,16.915,7.077,7,6,2
33,A,NA,y,0,0,0,0,0
34,A,NA,y,21.463,7.01,8,5,1
35,A,n,n,21.867,6.451,8,3,5
36,A,n,y,,,,,
37,B,n,y,18.608,7.133,7,7,6
38,B,y,y,24.065,9.866,8,7,10
39,B,y,n,31.796,8.698,7,11,8
40,B,n,n,21.841,9.061,7,4,2
41,B,y,y,22.47,7.864,7,7,6
42,B,y,y,21.629,6.578,7,9,3
43,B,y,y,20.873,8.21,8,2,4
44,B,y,y,19.473,8.267,7,5,4
45,B,y,y,18.466,6.816,7,5,2
46,B,n,y,20.008,8.781,7,3,2
47,B,y,y,19.548,7.932,7,6,2
48,B,NA,n,24.394,6.274,7,10,6
49,B,NA,n,18.35,7.493,9,3,4
50,B,n,n,26.603,9.186,6,7,2
51,B,y,y,21.854,8.091,7,6,3
52,B,y,y,24.626,7.669,8,7,5
53,B,y,y,21.274,8.722,7,8,4
54,B,y,y,21.938,8.249,7,5,3
55,B,y,y,21.243,8.491,7,8,1
56,B,y,y,17.874,8.257,7,4,2
57,B,y,y,18.838,7.723,7,4,3
58,B,n,n,18.554,5.127,7,4,8
59,B,n,n,11.762,5.301,7,1,3
60,B,y,y,13.014,8.344,7,5,4
61,B,y,y,19.552,7.931,7,10,2
62,B,y,n,21.535,8.156,7,4,2
63,B,y,y,19.028,7.676,7,8,3
64,B,NA,y,21.676,8.024,7,8,3
65,B,NA,y,14.671,7.081,7,2,2
66,B,NA,y,18.304,7.147,7,6,4
67,B,NA,y,23.449,7.86,7,6,4
68,B,NA,y,16.758,8.043,7,2,3
69,B,NA,y,17.893,7.389,7,6,4
70,B,NA,y,22.356,7.118,9,6,3
71,B,NA,y,20.561,7.327,7,4,4
72,B,NA,y,21.155,8.212,7,6,2
73,C,NA,n,23.519,7.72,7,4,1
74,C,NA,y,17.701,8.317,7,3,2
75,C,NA,n,19.691,8.13,7,5,5
76,C,NA,n,18.191,7.796,7,8,5
77,C,NA,y,19.382,7.417,7,7,4
78,C,NA,y,19.653,8.157,7,5,4
79,C,NA,n,21.698,7.063,9,12,3
80,C,NA,y,21.236,7.142,9,11,6
81,C,NA,n,23.205,8.629,9,7,4
82,C,NA,y,18.003,6.193,7,3,6
83,C,NA,y,19.914,6.762,7,5,2
84,C,NA,y,17.875,6.979,7,4,6
85,C,NA,y,18.034,7.554,7,5,3
86,C,NA,n,17.923,5.626,7,2,4
87,C,NA,y,20.865,5.853,7,9,4
88,C,NA,y,18.549,6.551,7,1,5
89,C,NA,y,19.257,7.417,7,2,3
90,C,NA,y,20.791,7.403,7,3,5
91,C,NA,n,20.131,8.788,7,6,3
